S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP01：こっちこっち　|　这边这边
S1 EP01：大丈夫か　|　没事吧
S1 EP01：あれ　|　怎么了
S1 EP01：これは　１人目の話だ　|　这是第一个人的故事
S1 EP01：遠い鉤爪のユノにとってのそれは　|　对于远方钩爪悠诺来说
S1 EP01：同窓の友人　リュセルスの記憶から始まる　|　一切要从同窗好友琉赛露丝的回忆说起
S1 EP01：詞術とは発言者の種族や言語体系を問わず　|　所谓词术 与施术者的种族和语言体系无关
S1 EP01：言葉に込められた意思をもって　|　是通过语言当中的意图
S1 EP01：さまざまな自然現象を歪曲する術の総称である　|　扭曲各种自然现象的法术的总称
S1 EP01：詞術が可能なのはこの世界のみであり　|　词术只在这个世界里有效
S1 EP01：いわゆる「客人」の世界では異なるとされる　|　在「客人」的世界里没有同样效果
S1 EP01：ユノ　|　悠诺
S1 EP01：今日って用事ある　|　你今天有安排吗
S1 EP01：特にはないけど　|　没什么安排
S1 EP01：何　|　怎么了
S1 EP01：力術　教えてくれないかな　|　你可以教我力术吗
S1 EP01：私が　|　我吗
S1 EP01：ユノは得意でしょう　|　你很擅长吧
S1 EP01：他の術に比べたらだけど　|　比其他法术好一点
S1 EP01：じゃあ　お願い　|　那就拜托了
S1 EP01：ねっ　|　好吗
S1 EP01：私たちの暮らすナガン迷宮都市は　|　我们所生活的纳甘迷宫都市
S1 EP01：魔王自称者キヤズナの大迷宮を中心に発展した　|　是以魔王自称者齐亚兹纳的大迷宫为中心建立的
S1 EP01：学士や探索士たちの街だった　|　学者与探险者们的城市
S1 EP01：撃て　|　开火
S1 EP01：やったぞ　|　干掉了
S1 EP01：まさか　大迷宮から出てくるとは　|　居然会从大迷宫里跑出来
S1 EP01：潜り込んだ盗賊でも追ってきたんだろ　|　是追着潜入的盗贼出来的吧
S1 EP01：まだ動くぞ　|　又动起来了
S1 EP01：マズい　刻印だ　命の刻印を探せ　|　糟了 刻印 快找出它的生命刻印
S1 EP01：こうかな　|　是这样吗
S1 EP01：リュセルスよりナガンの石へ　|　琉赛露丝致纳甘之石子
S1 EP01：空の音階　|　天空音阶
S1 EP01：赤の穂波　舞え　|　赤红穗波 飞舞
S1 EP01：上手　|　很好
S1 EP01：それ毒草だよ　|　这是毒草哦
S1 EP01：だから中央王国は　西連合王国のセフィト様を王にして　|　所以中央王国才拥护西联合王国的瑟菲特大人为女王
S1 EP01：黄都を築いたの　|　建立了黄都
S1 EP01：ユノは好きな人とかいるの　|　悠诺你有喜欢的人吗
S1 EP01：あの大迷宮には　|　在那座大迷宫里
S1 EP01：私たちが大人になっても　きっと掘り尽くせないほどの　|　一定有我们长大成人都发掘不完的
S1 EP01：秘密と遺物が残されてるって　|　众多秘密与遗物
S1 EP01：どんな過去でも　どんな身分でも　|　无论过往如何 身份如何
S1 EP01：栄光をつかむ道が開けてるって　|　通往荣耀的道路都会敞开
S1 EP01：もう何もおびえなくていい　|　已经不用再害怕了
S1 EP01：本物の魔王は死んだ　|　真正的魔王已经死了
S1 EP01：恐怖の時代は終わったんだ　|　恐怖的时代结束了
S1 EP01：これからは２人で栄光の未来を夢みていける　|　今后我们可以一起梦想荣耀的未来
S1 EP01：その未来が今だった　|　可那样的未来转瞬即逝
S1 EP01：リュセ…　|　琉赛…
S1 EP01：リュセルス…　|　琉赛露丝…
S1 EP01：痛い…　|　好痛…
