EP01 IN
EP01：行ってきます　|　我出门啦
EP01：緒川さん　|　绪川小姐
EP01：新刊来たから　|　新刊到货了
EP01：ビニールがけ頼むよ　|　封膜就交给你了
EP01：はい　|　好
EP01：気のせいかな　化野君　|　化野君 是我听错了吗
EP01：今　店内で鳥が鳴かなかったかい　|　刚才店里是不是有鸟叫
EP01：今度は堂々と鳴いた　|　这下在眼前叫了
EP01：閑古鳥が鳴いたんですよ　|　是布谷鸟叫的
EP01：なんだって　|　什么
EP01：知ってました　閑古鳥ってカッコウのことです　|　你知道吗 布谷鸟就是大杜鹃
EP01：私と一緒のレジはそんなに退屈かい　|　跟我一起收银就这么无聊吗
EP01：まさか　|　怎么会呢
EP01：僕は菫子さんとレジに入るために　ここで働いてるんですから　|　我来这工作就是为了跟你一起收银
EP01：そりゃ光栄だが　|　那可真是荣幸
EP01：年長者をからかうもんじゃないぜ　|　别捉弄前辈哦
EP01：10年早いぞ　少年　|　小伙子 过十年再说吧
EP01：10年か　|　十年呀
EP01：10年も待ったら　菫子さんも本格的に熟女だしな　|　再过十年 你就是真正的熟女了吧
EP01：からかってるんじゃなく　バカにしているのか　|　你这不是捉弄我 是嘲讽我对吧
EP01：実際暇じゃないですか　|　因为确实挺无聊嘛
EP01：どこの書店もバタバタ潰れてるし　|　不管哪的书店 一个个都黄了
EP01：みんな本屋なんていらないのかもね　|　或许大家不再需要书店了
EP01：眠そうですね　|　感觉你好困
EP01：何か夜通し執筆でも　|　是通宵写东西了吗
EP01：よくぞ聞いてくれた　|　问得好
EP01：昨日オカルト板に　きさらぎ駅の続報が来ただろ　|　昨天的神秘学板块里 如月车站的后续不是来了吗
EP01：ああ　あれ　|　啊 那个呀
EP01：詰め甘々で嘘丸出しな創作都市伝説　|　虎头蛇尾净是谎话 杜撰的都市传说
EP01：よく楽しめますね　いい年して　|　真亏你喜欢 一把年纪了都
EP01：って　|　疼
EP01：何気に自分も読んでるくせによく言うよ　小僧　|　自己都看还好意思说我 你这小鬼
EP01：小僧？　|　小鬼？
EP01：オカルトは人知を超える者への恐れと戸惑いを楽しめる　|　神秘学能让人享受超越认知之物的恐惧与迷惘
EP01：食欲や性欲みたいな　人の根源に関わる本能を刺激する娯楽さ　|　跟食欲和性欲一样 都是刺激人类根源本能的娱乐
EP01：つまり菫子さんは　|　换句话说
EP01：本能に作用するポルノのごとき物に夜通し熱中していたと　|　你彻夜着迷于像色色一样触动本能的东西
EP01：もしや私は今　あらぬ誤解をされてはいまいか　|　该不会引起奇怪的误解了吧
EP01：驚いたな　|　吓我一跳
EP01：店長　|　店长
EP01：化野君がそんなに喋るとは　|　没想到化野君这么健谈
EP01：彼は存外おしゃべりですよ　|　他其实话可多了
EP01：腹立つほどに　な　|　多到让人来气
EP01：今さら黙るのはずるくないか　|　你现在装哑巴是不是有点赖皮了
EP01：知らなかった　|　你不知道吗
EP01：化野君は緒川さんとしか喋らないんだよ　|　化野君只跟你一个人讲话
EP01：ああ　そうだ　|　啊 对了
EP01：緒川さんにプレゼント　|　送你的礼物
EP01：何です　|　这是什么
EP01：逆万引きの本だよ　|　逆向偷窃之书
EP01：逆万引き？　|　逆向偷窃？
EP01：おや　知らなかった　|　哎 你不知道吗
EP01：文字通り万引きの逆でね　|　顾名思义 和偷窃正好相反
EP01：盗まれるんじゃなくて　売り場の本が増えてるんだ　|　店里书不仅没被偷 反而是多出来了
EP01：どうせ迷惑客の嫌がらせでしょ　|　就是客人故意捣乱找茬吧
EP01：それを言っちゃおしまいだけどね　|　你要这么说就没法聊了
EP01：だけどさ　|　话说
EP01：緒川さん確か誕生日じゃなかった　|　你不是过生日来着吗
EP01：いや　そうですけど　|　确实
EP01：菫子さん　|　堇子小姐
EP01：前言ってた新作小説はどうなったんですか　|　你之前说的那个新作小说怎么样了
EP01：最近書けてないな　|　最近都没动笔
EP01：しっかりしないと　|　不认真点不行啊
EP01：それにしても水臭いですよ　菫子さん　|　话说你还真是见外呢
EP01：誕生日　教えてくれてたらプレゼント用意したのに　|　要是跟我说你过生日 我就准备礼物了
EP01：じゃあ今がチャンスだぞ　|　那现在就是好机会呀
EP01：へこんでる先輩をそっとしておく気遣いを見せるのが　最高のプレゼント　|　让心情不好的前辈自己静静就是最好的礼物了
EP01：放っておけるわけないじゃないですか　|　怎么能放着你不管呢
EP01：僕はこれでも　作家緒川菫子のファンなんです　|　你可能不信 我是作家绪川堇子的粉丝
EP01：よく言うよ　|　你还真敢说
EP01：忘れないために　私はここに記しておこう　|　为了不忘记 我在此留下记录
EP01：これは私　緒川菫子と口の減らない友人　化野蓮との　|　这是一份关于我绪川堇子和我的多嘴朋友化野莲
EP01：ささやかな友情と別れに関する記録だ　|　两个人点滴友谊和离别的记录
EP01：じゃあまた明日　|　那就明天见啦
EP01：うん　おやすみ　|　嗯 晚安
EP01：おめでとうございます　|　恭喜你
EP01：28歳　おめでとう　わたし　|　28岁 祝贺自己
EP01：あの頃は　なんだってかけたんだ　|　那个时候 写什么都文思泉涌
EP01：15歳で新人賞を受賞して　|　15岁就得了新人奖
EP01：だが…　|　然而…
EP01：20歳すぎれば所詮はただの人　|　年满二十就泯然众人
EP01：私はただの人だったらしい　|　原来我只是个普通人
EP01：あの頃に戻りたいな　|　真想回到那个时候啊
EP01：もう　|　真是的
EP01：タイトル読めないな　|　看不懂标题啊
EP01：日本語っぽいけど微妙に違う　|　看着像日语又有些区别
EP01：でも平仮名もあるし　|　不过也有平假名
EP01：要所要所読めるかな　|　能读个重点吧
EP01：天なるや　月日のごとく　吾が思へる　|　愿君如天日 愿君如天月
EP01：君が日に異に　老ゆらく惜しも　|　君今日日老 叹息意难平
EP01：万葉集だったかな　|　万叶集吗
EP01：昔の人も　若返りたいと思ってたってことか　|　古人也会着想重获青春呢
EP01：ケーキでも買いに行くかな　|　去给自己买个蛋糕吧
EP01：小僧…　|　小鬼…
EP01：そんな年でもないんだけどな　|　我也不是小孩子了呀
EP01：デリカシーのないやつだよ　まったく　|　臭小子一点也不体贴 真是的
EP01：らっしゃいませ　|　欢迎光临
EP01：伸びたか？　|　衣服变大了？
EP01：あれ　|　咦
EP01：目が…　|　视线…
EP01：靴が…　|　鞋子…
EP01：何やってんの　|　怎么回事
EP01：お客さん　|　这位客人
EP01：化野君　ちょっと　|　化野君 方便吗
EP01：緒川さん無断欠勤なんだよ　|　绪川小姐没来上班
EP01：菫子さんが？　|　堇子小姐？
EP01：電話にも出ないから心配でさ　|　电话也打不通 有点担心啊
EP01：何か聞いてない　|　你知道些什么吗
EP01：様子見に行った方がいいかな　|　要不要去看看情况
EP01：体調不良らしいですよ　|　她好像身体不太舒服
EP01：そうなの　|　是吗
EP01：便秘が極まって体内が人糞で満杯らしくて　|　便秘严重 肚子都被便便塞满了
EP01：命の危険があると医者に言われたので休むそうです　|　医生说会有生命危险所以就休息了
EP01：マジで　|　真的吗
EP01：ビビって泣きながらトイレに籠っているそうです　|　听说她吓得一直哭着待在厕所里
EP01：そうか　お大事にって伝えておいて　|　这样啊 让她千万保重身体
EP01：わかりました　|　我明白了
EP01：何があったかなんて　僕が知りたいところですよ　|　发生什么事了 我也想知道啊
EP01：菫子さん？　|　堇子小姐？
EP01：謎のメールから始まるってのはありだな　|　从神秘短信展开也不错呢
EP01：メールを打った少年は予告通りに主人公と同じ店でバイトを始める　|　发短信的少年如约与主角在同一家店里打工
EP01：やっぱり書店ってのがいいんじゃないか　|　果然还是书店比较好
EP01：こうして　私は失踪した　|　就这样 我失踪了
EP01：菫子さんの家に？　|　去堇子小姐家？
EP01：一週間となると見過ごせないよ　|　都一周了 不能不管了
EP01：様子見てきてくれないかな　|　可以去看看情况吗
EP01：僕がですか　|　让我去吗
EP01：化野です　|　我是化野
EP01：様子見に来ました　|　过来看看情况
EP01：いますか　|　你在家吗
EP01：開いちゃったよ　|　门开着呢
EP01：防犯意識ガバガバじゃないですか　|　毫无防范意识啊
EP01：ガサ入れです　勝手に上がって好き勝手しますよ　|　搜家啦 我要擅自进来为所欲为了哦
EP01：くそ　いい匂いがする　|　天啊 好香的味道
EP01：こんな形で部屋に入りたくなかったな　|　我没打算用这种方式进来的
EP01：スマホは置きっぱなし　|　手机就这样放着
EP01：争った形跡もない　|　也没有打斗的痕迹
EP01：一体どこに…　|　到底去哪了…
EP01：なるほど　これが原因　|　原来如此 这就是原因
EP01：資料も揃った　|　资料也集齐了
EP01：これでまた小説が書けるぞ　|　这样我又能写小说了
EP01：子供の姿も悪くないぞ　|　小孩子的样子也不错嘛
EP01：アイデアが湧き出て　|　不断冒出新点子
EP01：じっとしていられない　|　完全停不下来
EP01：家に帰って執筆だ　|　回家就开始写
EP01：家に…　|　回家…
EP01：家ってどこだっけ　|　家在哪来着
EP01：菫子さん　|　堇子小姐
EP01：子供の一人歩きは危ない　|　小孩子单独走路很危险
EP01：帰り道がわからないなら　案内しますよ　|　不知道怎么回家的话 我来给你带路吧
EP01：誰だ君は　|　你是谁
EP01：薄情だな　忘れたんですか　|　真无情啊 忘记了吗
EP01：いや　全然覚えが　|　完全记不起来
EP01：頭痛い　|　头好痛
EP01：その姿の反動ですよ　|　这是你现在姿态的反噬
EP01：若返ったと思ってますか　|　你以为你返老还童了吗
EP01：子供の体に押し固められてるだけで　|　你只是被压缩到了孩子大小的身体里
EP01：あなたを構成する　縮んだ分の血や肉や骨　|　你的血肉骨头都被压缩
EP01：あなたの余りは今もその体の中にあるんです　|　多出来的部分依旧在这具躯体当中
EP01：どうして知ってる　|　你为什么会知道
EP01：君は…化野君だ　|　你是…化野君
EP01：おかしいよ　|　太奇怪了
EP01：なぜこの姿に驚いてない　|　你为什么一点也不吃惊
EP01：菫子さん　この本を読みましたね　|　堇子小姐 你读了这本书吧
EP01：それは…　|　这是…
EP01：声に出して読んではならない呪いの本　|　不能读出声的诅咒之书
EP01：呪書と呼ばれている怪異です　|　被称作咒书的怪异
EP01：本を読んだ呪いで小さくなったっていうのか　|　你是说我中了读书的诅咒才变小的吗
EP01：そんな馬鹿げた話を信じろっていうのか　|　要我相信这种鬼话吗
EP01：そんな馬鹿げた体になったのに信じないって言うんですか　|　你都变成这副鬼样了还不肯相信吗
EP01：これはあなたの命に関わる話ですよ　|　这件事可关乎你的性命
EP01：命？　|　性命？
EP01：万葉集の和歌のうち　|　万叶集的和歌中
EP01：作者不詳の歌の中には　|　有许多作者不详的歌
EP01：人ではない何かが詠んだ歌が紛れ込んでいる　|　这其中混入了并非人类吟咏的歌
EP01：詠めば死者を呼び起こす挽歌　|　读之能唤醒死者的挽歌
EP01：人の心を操作する相聞　|　能操纵人心的相闻歌
EP01：あるいは若さを取り戻す雑歌　なんてものもある　|　又或者是返老还童的杂歌 诸如此类
EP01：第十三巻雑歌　作者不詳　|　第十三卷杂歌 作者不详
EP01：万葉集では　貴人の若返りを願った女性の歌の一首なんです　|　在万叶集中 是一首女性祈愿贵人返老还童的歌
EP01：天なるや　月日のごとく　吾が思へる　|　愿君如天日 愿君如天月
EP01：君が日に異に　老ゆらく惜しも　|　君今日日老 叹息意难平
EP01：歌うと怪現象が起こる歌？　|　咏唱就会引发怪异现象的歌？
EP01：初耳だぞ　そんなの　|　我还是头回听说
EP01：「月読の変若水」というやつですよ　|　这就是所谓「月读的变若水」
EP01：とはいえこの歌は　いくつかの条件が揃って初めて効果が現れる　|　虽说如此 这个歌需要满足几个条件才会生效
EP01：かなりレアな呪歌らしいですがね　|　貌似是相当稀有的咒歌呢
EP01：条件？なんだい　|　条件？是什么
EP01：教えましょうか　|　要我告诉你吗
EP01：ぜひとも　|　务必
EP01：その１　時刻は深夜０時ごろ　|　其一 时间需在午夜零时左右
EP01：その２　月明かりの下で読む　|　其二 需在月光下读出
EP01：その３　28歳以上である　|　其三 需要28岁以上
EP01：確かに　全部当てはまってる　|　确实 全中
EP01：そして最後の条件は　|　还有最后一个条件
EP01：その４　読み手が生娘であること　|　其四 读者需是处女
EP01：聞き間違いかな　|　是我听错了吗
EP01：今なんて　|　你刚说了什么
EP01：読み手が生娘であること　|　读者需是处女
EP01：読み手が生娘であること　|　读者需是处女
EP01：２度言った　|　说了两遍
EP01：怪異が純潔を証明してくれたんです　|　怪异证明了你的纯洁
EP01：頼むから黙ってくれないか　|　拜托你能闭嘴吗
EP01：うっかり殺してしまいそうだ　|　我可能一不小心把你杀了
EP01：どうしてそんな本が私の元に巡ってきた　|　为什么这种书会辗转到我手上
EP01：ただの偶然です　|　只是偶然罢了
EP01：あなたが特別選ばれたわけじゃありません　|　并非特意选中了你
EP01：私のせいじゃないって言ってくれてるのかい　|　你想说这不是我的错吗
EP01：今死にかけているのは　|　但你现在死期将至
EP01：呑気にほっつき歩いているあなたのせいですけどね　|　却是你自己忘乎所以四处瞎晃所造成的
EP01：本当に死ぬのか　|　真的会死吗
EP01：元に戻るには月明かりが必要です　|　想要变回去的话需要有月光
EP01：月の見えるところまで行きましょう　|　走到能看见月光的地方去吧
EP01：今ならまだ間に合います　|　现在的话还来得及
EP01：ここなら月が見える　|　到这就能照到月亮了
EP01：やってみましょう　|　来读读看
EP01：また同じ歌を読めばいいのか　|　把之前那首再读一遍就行了吗
EP01：あなたが最初に読んだのは反歌です　|　你之前读的是反歌
EP01：今回読むのは最初の歌が添えられている長歌です　|　这次要读那首歌对应的长歌
EP01：ここです　早く　|　在这里 请快些
EP01：わかった　|　知道了
EP01：天橋も長くもがも　高山も高くもがも　|　愿天桥且长 愿高山且高
EP01：月読の持てる変若水い取り来て　|　取得月读变若水
EP01：君に奉りて変若しめんはも　|　奉之于君长不老
EP01：無事戻れましたね　|　顺利变回来了啊
EP01：なんだか　恥ずかしいぞこれ　|　这样子 总感觉好羞耻
EP01：それ　パンティー穿いてるんですよね　|　你应该穿着内裤吧
EP01：当たり前だろ　|　当然穿着
EP01：君に良識があるのなら　何か隠すものを貸してくれないか　|　你要是还有点良心 就拿东西给我遮一遮
EP01：良識か　あったかな　|　良心啊 也许有吧
EP01：その本は僕に預けてください　|　请把那本书交给我保管
EP01：適当に処分しますんで　|　我会妥善处理的
EP01：このタオルでそのケツ隠せます　|　这条毛巾能遮住屁股吗
EP01：ちょっと　|　等一下
EP01：菫子さん　|　堇子小姐
EP01：悪いが　これは渡せないな　|　抱歉 我不会把书给你
EP01：有効活用させてもらう　|　我会好好利用起来的
EP01：危険です　|　那很危险
EP01：渡してもらいます　|　把书交给我
EP01：天なるや　月日のごとく　吾が思へる　|　愿君如天日 愿君如天月
EP01：君が日に異に　老ゆらく惜しも　|　君今日日老 叹息意难平
EP01：なんだあいつ　|　那小子怎么回事
EP01：どうやって先回りを　|　怎么绕到我前面的
EP01：天橋も長くもがも　高山も高くもがも　|　愿天桥且长 愿高山且高
EP01：月読の持てる変若水い取り来て　|　取得月读变若水
EP01：君に奉りて変若しめむはも　|　奉之于君长不老
EP01：何使いこなしてんだよこの短太眉　|　这短粗眉怎么就运用自如了
EP01：どこだここ　|　这里是哪
EP01：さあ　本を渡してください　|　快 把书给我
EP01：いやだ　|　不干
EP01：これがいるんだ　|　我需要这本书
EP01：若くないと　誰も私の本なんて読んでくれない　|　不年轻的话没人会去读我的书
EP01：どうしてそういうことになるんです　|　你为什么会这么认为
EP01：私には　才能なんてないって思い知ったからさ　|　因为我很清楚自己没有才能
EP01：ずっとボツ続きで　天才なんてメッキはとうに剥がれて　|　稿件总是被退回 天才的外壳早已剥落
EP01：残されたのは社会性のないただの幼稚な人間　|　剩下的只是缺乏社会性的幼稚凡人
EP01：それでも小説が書きたいんだ　|　即便如此我还是想写小说
EP01：面白くないって誰よりも自分がわかってる　|　我深知我所写的并不有趣
EP01：書いても書いても　ダメって言われてまた書き直して　|　不管怎么重写都只会被退回再次重写
EP01：それでも書きたいんだ　|　即便如此我还是想写
EP01：鼻水出てますよ　|　鼻涕出来了
EP01：大丈夫　書けますって　|　没事的 你能行的
EP01：勇気はもともとあなたの中にある　|　你本来就很勇敢
EP01：なぜ半裸で街の中を走れるんですから　|　毕竟你都敢半裸在街上乱窜
EP01：僕は作家緒川菫子のファンですから　|　我可是作家绪川堇子的粉丝
EP01：どうか新作を僕に読ませてください　|　请务必让我拜读新作
EP01：天橋も長くもがも　高山も高くもがも　|　愿天桥且长 愿高山且高
EP01：月読の持もてる変若水い取り来て　|　取得月读变若水
EP01：ずるいぞ　化野君　|　太狡猾了 化野君
EP01：そこまで言われちゃ断れない　|　都这么说了还怎么拒绝呢
EP01：戻ってくれてうれしいです　菫子さん　|　很高兴你能回来 堇子小姐
EP01：拾得物の届け出でしたらこちらにどうぞ　|　要上交遗失物的话请来这边
EP01：呪書ですか　|　是咒书吗
EP01：これですとやみ駅行きの乗車券１枚と交換可能です　|　这个能换一张去往隐暗车站的票
EP01：今回はやめておきます　|　这次就算了
EP01：それは残念　|　那太可惜了
EP01：またのご利用　お待ちしております　|　期待下次光临
EP01：神隠し　|　神隐
EP01：次回　校舎とよだれと団地妻　|　下集 校舍与口水与团地妻
EP01：#青绿书店
EP01：#咒书与少女与生日
EP01：#新人奖 颁奖仪式
EP01：#像犀牛角一样孑然独行 绪川堇子
EP01：#注：出自《犀牛角经》
EP01：#注：万叶集，现存最早的日语诗歌总集
EP01：#生日快乐！
EP01：#请变得越发熟女吧
EP01：#谢啦 迟早捅死你
EP01：#我会等着的
EP01：#好好记住小鬼 谁都会有老去那天
EP01：#堇子小姐 发生什么事了吗？
EP01：#身体不舒服的话 我会帮你传达的
EP01：#在吗
EP01：#喂喂，无视我？
EP01：#别来烦我
EP01：#虽然不知道你是谁 但你打扰到我了
EP01：#重获青春 古书 哪来的？朋友 古书店 古书市场
EP01：#未知号码
EP01：#未接电话 未知号码 青绿书店 店长 化野 滑动解锁
EP01：#咒书
EP01：#注：相闻歌，原义主要指吟咏男女爱情的和歌
EP01：#月读的变若水
EP01：#月光
EP01：#28岁 祝贺自己
EP01：#处女
EP01：#校舍与口水与团地妻
EP01 OUT

EP02 IN
EP02：失礼ですけど　今おいくつですか　|　恕我失敬 请问您今年多大
EP02：このひっぱくした行き場のない情動がね　|　说到这种紧张压迫坐立不安的情感吧
EP02：むしろ若い書き手らしいエネルギーになってる　|　更像是一种很有年轻作家风格的能量
EP02：狙いは面白いけど　|　想表现的东西挺有意思
EP02：余計な要素が多く感じられますね　|　不过有很多无用的要素
EP02：ドラマが身の丈に合ってないというのかな　|　是不是剧本不适合你呀
EP02：登場人物の言動や視点も現代的ですよね　|　登场人物的行为和观点挺现代的
EP02：それでいてテーマに普遍性があるし　|　你这个主题还挺有代表性
EP02：テーマに意外性や説得力が足りないし　|　主题缺少意外性和说服力
EP02：ちょっと独りよがりですね　|　有点自以为是了
EP02：もっと斬新さが必要だと思いますよ　|　我觉得你需要多加点创新
EP02：失礼ですけど　今おいくつですか　|　恕我失敬 请问您今年多大
EP02：28歳　|　28岁
EP02：おめでとう　わたし　|　祝贺自己
EP02：呪書ですか　|　是咒书吗
EP02：これですとやみ駅行きの乗車券１枚と交換可能です　|　这个能换一张去往隐暗车站的票
EP02：今回はやめておきます　|　这次就算了
EP02：それは残念　|　那太可惜了
EP02：切符　だめだったの　|　车票 买不到吗
EP02：足りないから他にも怪異を探せってさ　|　人家说这个不够 再去找点怪异来
EP02：相変わらずこの駅は意地悪だ　|　这个车站还是老样子 欺负人
EP02：ただいま　乙　|　我回来啦 乙
EP02：帰れるのはまだまだかな　|　回家的目标还很遥远
EP02：でも　|　但是
EP02：乙は必ず元の世界に戻してやるから　|　我肯定会让你回到原本的世界
EP02：蓮兄　一緒に帰ろうね　|　莲哥 一起回去吧
EP02：菫子さんのこと忘れてた　|　我把堇子小姐的事给忘了
EP02：ね　その人って恋人　|　那个 她是你恋人吗
EP02：まさか　|　怎么可能
EP02：バイト先の先輩　|　是一起打工的前辈
EP02：世話になってるっていうか　|　倒也不是受她照顾
EP02：怪異に曳かれて　死にかけてたから　|　只是她被怪异缠身 差点丢了性命
EP02：見過ごせなくて　|　不能见死不救
EP02：まずは丸出しのパンツを隠すか　|　先把露光的内裤遮一下吧
EP02：乙　何か着るもの持ってる　|　乙 你带穿的了吗
EP02：あれ　怒ってる　|　哎呀 生气了吗
EP02：このケツ　入るかな　|　这屁股 能穿进去吗
EP02：蓮兄　|　莲哥
EP02：別の怪異を探すの　|　还要找其他怪异吗
EP02：当たり前だろ　|　那肯定啊
EP02：怪異あるかも　|　我或许知道一个
EP02：どこに　|　在哪
EP02：私の学校　|　在我学校里
EP02：コオネ女学院？　|　高岭女子学院？
EP02：老ゆらく惜しも　|　叹息意难平
EP02：その人　|　你看她
EP02：着替えましたか　|　衣服换好了吗
EP02：君の頼みだから引き受けるのも吝かではないが　|　是你求我我才答应的
EP02：本当に必要なんだな　|　但真有必要吗
EP02：意外に行けるな　|　意外地还不错
EP02：君はなぜこんな制服を所持しているんだい　|　你为什么有这一身制服
EP02：今日から　乙の友達になってください　|　从今天开始 请你跟乙做朋友
EP02：説明責任を果たせ　小僧　|　解释清楚 小鬼
EP02：怪異？　|　怪异？
EP02：例えば神隠しとか　ご存知ですよね　|　比如说神隐 你知道吧
EP02：神隠しなら有名なのは　平田篤胤の仙境異聞だな　|　说到神隐 比较出名的是平田笃胤的仙境异闻吧
EP02：さすがです　菫子さん　|　不愧是你 堇子小姐
EP02：思うに　神に隠されるものとは　|　想来 这被神所隐去之人
EP02：元の世界がいらないと判断した存在なのかもしれませんね　|　或许是被原来的世界判断为不再需要了
EP02：君は私に何をさせたいんだ　|　你想让我干什么
EP02：妹の乙が通っているコオネ女学院に　厄介な現象が起きているようで　|　我妹妹上的高岭女子学院 好像发生了棘手的现象
EP02：助けたいけど　僕じゃ女子校に入れない　|　我想帮忙 但是进不去女子学校
EP02：だから　僕の代わりに乙の友達として　学校に潜入してください　|　所以我想请你作为乙的朋友 替我潜入学校
EP02：いいさ　引き受けよう　|　好啊 我接受
EP02：いいんですか　|　可以吗
EP02：こんな無茶苦茶な話なのに　|　这么胡闹的请求
EP02：それを自分で言うか　|　你自己也知道啊
EP02：ではなぜ　|　那是为什么
EP02：私は作家　緒川菫子だ　|　我可是作家 绪川堇子
EP02：理由はそれで十分だろ　|　这理由还不够充分吗
EP02：引き受けるとは言ったが　この制服には無理があると思う　|　虽说我接受了 但感觉这身校服还是太勉强
EP02：どうかね　|　怎么办呢
EP02：それに関しては解決の目処が立っていまして　|　对此已经有解决办法了
EP02：今　あなた自身が呪いそのもの　|　现在 你自己就是诅咒本身
EP02：いわば「変若人」となった　|　也就是成为「变若人」了
EP02：だから今の菫子さんなら　自在に変身できるはずです　|　所以现在的堇子小姐应该可以自由变身
EP02：高校生にだって　|　变成高中生也没问题
EP02：ちょっと立って　例の呪歌を歌ってください　|　请你站起来 念一遍那首咒歌
EP02：別にいいが　|　这倒是没问题
EP02：天なるや　月日のごとく　吾が思へる　|　愿君如天日 愿君如天月
EP02：君が日に異に　老ゆらく惜しも　|　君今日日老 叹息意难平
EP02：成功ですね　|　成功了呢
EP02：しかしこれでは　熟女感が薄いな　|　不过这一来 熟女感变弱了
EP02：もう少し喜んではどうだ　|　给我表现得高兴点
EP02：ここは…　|　这里是…
EP02：コオネ女学院は創立百年以上の名門校です　|　高岭女子学院是有着上百年历史的名校
EP02：中高一貫だし　途中入学者もいるので　|　初高中直升 又允许学生中途转入
EP02：紛れるのも容易でしょう　|　所以混进去也很简单
EP02：風紀や伝統を重んじる厳格な校風ですが　|　虽说校风严格 重视纪律和传统
EP02：現在進行形で不可解な現象…いえ　事件が起きています　|　但现在正发生着不可思议的现象…或者说事件
EP02：ごきげんよう　|　贵安
