EP01 IN
EP01：灯荒仁です　|　我叫灯荒仁
EP01：趣味はバンドで　一応ベースやってます　|　兴趣是组乐队 姑且算是个贝斯手
EP01：今珍しくフリーなんで　|　现在碰巧单身
EP01：よろしくです　|　请多关照
EP01：荒仁　チューチューギョーザ焼けたよ　|　荒仁 啾啾饺子做好了哦
EP01：朝からギョーザはヤダって言ったろ　|　不是说了一大早不吃饺子吗
EP01：飲み過ぎちまったあ　|　喝过头了
EP01：マジ万死だわ　|　真是九死啊
EP01：地震か？　|　地震了？
EP01：いや　|　不是
EP01：あれって　本気人が封印されてるっていう…　|　那就是传说封印着浩气之人的…
EP01：バーカ　そんな昔話…　|　笨蛋 那种传说…
EP01：「本気人というは」　|　「所谓浩气之人」
EP01：「逃げぬ心と見つけたり」　|　「即到达无惧心境之人」
EP01：かつて侍の世に　|　过去的武士时代
EP01：刀を捨て　兜を脱ぎ　|　一群人丢掉刀刃卸去铠甲
EP01：己の身ひとつ　本気のみを身にまといて　|　全身上下 仅有浩然正气为其武装
EP01：ただひたすらにテッペンを目指し続けた者たちがいた　|　而其目的只是一味地追寻巅峰
EP01：それすなわち　|　他们被称作
EP01：本気人なりい　|　浩气之人
EP01：１年坊がずいぶん調子くれてるみたいじゃん　|　一年级小鬼好像有点得意忘形了
EP01：ええ？真宝　|　是吧？真宝
EP01：うちには　魅那斗會とシグマスクワッドっていうチームが　|　我们学校有魅那斗会和西格玛组两个帮派
EP01：テッペン取るって　張り合ってるんだけど　|　双方说要到达巅峰 争来争去的
EP01：でも　君はそういうの興味なさそう　|　不过你好像没什么兴趣
EP01：クラスにかわいい子います　|　班里有可爱的女生吗
EP01：まあ　いるんじゃない？　|　姑且 算是有？
EP01：かわいいっていうか　|　这能算是可爱吗
EP01：かわいがられちゃうよ　|　恐怕是我要被疼爱了
EP01：新しいクラスメートを紹介します　|　介绍一下新来的同学
EP01：灯荒仁です　|　我叫灯荒仁
EP01：よろしくお願いしまーす　|　请多关照
EP01：じゃあ　席はあそこね　|　那你就坐那边吧
EP01：はい　|　好的
EP01：いたあ　|　出现了
EP01：彼女こそまさに　混沌とした八宝菜の中で光り輝くウズラ　|　她正如混沌的八宝菜中闪闪发光的鹌鹑蛋
EP01：じゃあ　教科書開いて　|　那么 把教材翻开
EP01：灯くん　|　灯君
EP01：神まほろっていいます　|　我叫神真步路
EP01：よろしくね　|　请多关照了
EP01：ズッキューン　|　心动
EP01：よろしく　|　请多关照
EP01：神さんかあ　|　神同学吗
EP01：ってことは結婚したら神荒仁？　|　那要是结婚了我就叫神荒仁？
EP01：あれ　上から読んでも下から読んでもジンアラジン　|　咦 正着读反着读都是同样的发音
EP01：これって運命？　|　这就是命运？
EP01：どっち方向　|　你家住哪边
EP01：同じ方向なら　一緒に帰ろ　|　一个方向的话 就一起回去吧
EP01：校門で待ってるね　|　我去校门口等你哦
EP01：来たの　俺に春が来たの？　|　到来了吗 属于我的春天？
EP01：今いっきまーす　|　我现在就来
EP01：あっぶねえ　|　好危险
EP01：どうよ　|　怎么样
EP01：うちの居心地は　|　在班里感觉如何
EP01：僕ちょっと急いでるんで…　|　我有点急事就先…
EP01：つれねえこと言うなよ　|　别这么扫兴嘛
EP01：遊ぼうぜえ　|　一起去玩吧
EP01：チ…チ…　|　青…青…
EP01：チンジャオロース　|　青椒肉丝
EP01：おい　テメェ待ちやがれ　|　喂 你这家伙给我站住
EP01：冗談じゃねえ　|　别开玩笑了
EP01：あんなの関わんねえにかぎ…　|　我才不要和那种人扯上关系…
EP01：ってえ…　|　好痛…
EP01：でけえ　|　好大
EP01：あったり　|　中大奖咯
EP01：よりによってれえヤツにぶつかっちまったなあ　|　偏偏撞上了最厉害的家伙
EP01：やられる　|　要被揍了
EP01：荒ちゃん？　|　小荒？
EP01：やっぱ荒ちゃんじゃん　|　果然是小荒啊
EP01：どちら様？　|　你是？
EP01：真宝だよ　浅観音真宝　|　我是真宝呀 浅观音真宝
EP01：真宝？　|　真宝？
EP01：真宝って…　|　真宝是…
EP01：あの真宝？　|　那个真宝？
EP01：久しぶり　５年ぶりかな　|　好久不见 有五年了吧
EP01：もしかして　こっち戻ってきたの　|　难道你回这边来了吗
EP01：幼なじみの荒ちゃん　|　这是我的发小小荒
EP01：小さいころ　一緒に修業してたんだ　本気人の　|　小时候为了成为浩气之人 我们一起修行过
EP01：荒ちゃん　ムチャクチャ強かったんだ　|　小荒以前可是非常厉害的
EP01：人は見かけによらねえ　|　真是人不可貌相呢
EP01：つっても昔の話だろ　|　过去的事罢了
EP01：俺たち　これからバッセン行くんだけど　|　我们现在打算去击球场玩
EP01：よかったら一緒に？　|　要不要一起去？
EP01：わりい　俺　用あるから　|　抱歉 我还有点事
EP01：んだよ　アイツに会っちまうなんて　|　什么啊 怎么会遇见他的
EP01：やっぱこの町ろくなことねえ　|　果然这小镇没什么好事
EP01：って　それどころじゃねえよ　|　不对 不是想这些的时候
EP01：チューチューギョーザ　おまチュー　|　啾啾饺子 久等啾
EP01：うまそ　|　好有食欲
EP01：チューおいしいよ　|　啾好吃哦
EP01：いっただっきまーす　|　我开动了
EP01：たでえま　|　我回来了
EP01：学校どうだった　かわいい子いた　|　学校怎么样 有可爱的女孩子吗
EP01：いたんだ　|　有啊
EP01：どんな子　どんな子　|　是什么样的 什么样的
EP01：まるで　ウズラみてえな…　|　像鹌鹑蛋一样的…
EP01：「寺ハ」始まっちゃう　|　「寺花」要开始了
EP01：あとよろチュー　|　交给你了啾
EP01：兄ちゃん　レバミソ　|　小哥 一份味噌肝
EP01：んだよ　ババア　|　自己去啊 老太婆
EP01：しっかし　神社にあんなもんが封印されてるとは　|　不过 神社里居然封印着那种东西
EP01：そっかあ　|　是这样啊
EP01：真宝くんに負けちゃったんだ　|　输给真宝君了
EP01：摩利人さん　すんません　|　摩利人先生 实在抱歉
EP01：でもなんか　アイツ…　|　但我总感觉那家伙…
EP01：ありがとうございました　|　非常感谢
EP01：すげえ気持ちいいヤツで　|　给人感觉非常舒服
EP01：何それ　青春　|　什么啊 真是青涩
EP01：ですよね…　|　确实是…
